,index,movieName,databaseId,movielensId,reviewId
0,0,Headhunter (2009),75796,144420,9570930
1,1,Angels in the Outfield (1994),75815,1021,
2,2,Eddie and the Cruisers (1983),75822,4589,
3,3,Ninja Assassin (2009),75828,72489,
4,4,Orgazmo (1997),75867,2325,
5,5,Toy Story 2 (1999),75881,3114,
6,6,A Star Is Born (1954),75903,25996,280838
7,7,Pretty in Pink (1986),75918,2145,
8,8,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,75962,-1,
9,9,An American Werewolf in Paris (1997),75968,-1,
10,10,The Golden Temple (2012),75981,-1,
11,11,Fool's Gold (2008),75984,57951,4556668
12,12,The Exorcist (1973),76012,1997,146233
13,13,The War Bride (2001),76019,174967,
14,14,Flick (2008),76023,-1,9699978
15,15,National Security (2012),76036,-1,2701233
16,16,The Vow (2012),76042,92509,6185093
17,17,Winter's Bone (2010),76067,78574,5509922
18,18,Love Station (2016),76069,-1,
19,19,Fight Club – Members Only (2006),76071,-1,
20,20,IMurders (2008),76102,-1,
21,21,Pocahontas II: Journey to a New World (1998),76111,95193,
22,22,Just One of the Guys (1985),76113,7340,
23,23,Prince (1969),76130,-1,9694686
24,24,Love Liza (2002),76137,6002,2700561
25,25,Anomalisa (2015),76143,139855,9156614
26,26,The Great Gatsby (1926),76145,121618,78491
27,27,Million Dollar Baby (2004),76160,30707,929748
28,28,Insidious: Chapter 3 (2015),76170,122884,8859153
29,29,The Mummy,76171,2617,
30,30,Ride Along 2 (2016),76177,151315,9209154
31,31,The Hills Have Eyes (2006),76187,44397,655157
32,32,Dirty Work (1998),76195,2195,151163
33,33,North Dallas Forty (1979),76198,3506,140907
34,34,Death at a Funeral (2007),76279,53956,5227788
35,35,The Cowboys (1972),76284,8334,
36,36,My Scientology Movie (2015),76325,-1,
37,37,Blackhat (2015),76336,120637,8543869
38,38,Hereafter (2010),76339,81512,5803629
39,39,The Parent Trap (1998),76356,2059,
40,40,Anna and the King (1999),76365,3155,
41,41,Beware! The Blob (1972),76391,170753,
42,42,The Exorcist,76481,1997,
43,43,Brave (2012),76483,95167,547727
44,44,The Royal Scandal,76488,74448,
45,45,Chloe (2009),76508,76079,5472358
46,46,Mississippi Damned (2009),76512,148923,
47,47,Cloverfield (2008),76519,57368,544411
48,48,Okja,76524,171765,8164062
49,49,Killers (2010),76530,78041,9755880
50,50,The Shaggy Dog (1959),76620,1016,
51,51,No Good Deed (2014),76627,114182,2822183
52,52,Double Impact (1991),76636,4200,
53,53,First Kill (2017),76639,175783,
54,54,Torque (2004),76658,7175,9791069
55,55,Batman: Revenge (2003),76660,-1,
56,56,The Incredible Hulk (2008),76706,60040,552292
57,57,Red Lines (2014),76724,-1,
58,58,All the Pretty Horses (2000),76746,4031,
59,59,Pinocchio (1940),76757,596,9696047
60,60,Ouija (2015),76772,-1,8324062
61,61,White Men Can't Jump (1992),76781,3263,
62,62,Contagion (2011),76802,89470,9805080
63,63,Death of a Ghost Hunter (2007),76825,138526,
64,64,The Sweetest Thing (2002),76829,5296,2410207
65,65,Good Burger,76845,6464,5583605
